team_name,opponent,startdate,match_format,ground,match_result,margin,toss,batting,runs,wickets,overs_played,runs_avg_per_over
Zimbabwe,South Africa,2003-07-05,ODI,Cardiff,lost,9 wickets,lost,1st,174.0,8.0,50.0,3.48
South Africa,Zimbabwe,2003-07-05,ODI,Cardiff,won,9 wickets,won,2nd,175.0,1.0,34.2,5.09
Zimbabwe,England,2003-07-06,ODI,Bristol,lost,6 wickets,lost,1st,92.0,10.0,24.5,3.7
England,Zimbabwe,2003-07-06,ODI,Bristol,won,6 wickets,won,2nd,95.0,4.0,17.5,5.32
South Africa,England,2003-07-08,ODI,Birmingham,lost,4 wickets,won,1st,198.0,9.0,50.0,3.96
England,South Africa,2003-07-08,ODI,Birmingham,won,4 wickets,lost,2nd,199.0,6.0,39.0,5.1
Zimbabwe,South Africa,2003-07-10,ODI,Southampton,lost,7 wickets,won,1st,173.0,8.0,50.0,3.46
South Africa,Zimbabwe,2003-07-10,ODI,Southampton,won,7 wickets,lost,2nd,174.0,3.0,35.2,4.92
Bangladesh,Australia,2003-08-02,ODI,Cairns,lost,8 wickets,lost,1st,105.0,10.0,34.0,3.08
Australia,Bangladesh,2003-08-02,ODI,Cairns,won,8 wickets,won,2nd,107.0,2.0,22.3,4.75
Bangladesh,Australia,2003-08-03,ODI,Cairns,lost,9 wickets,won,1st,147.0,10.0,45.1,3.25
Australia,Bangladesh,2003-08-03,ODI,Cairns,won,9 wickets,lost,2nd,148.0,1.0,20.2,7.27
Australia,Bangladesh,2003-08-06,ODI,Darwin,won,112 runs,won,1st,254.0,7.0,50.0,5.08
Bangladesh,Australia,2003-08-06,ODI,Darwin,lost,112 runs,lost,2nd,142.0,10.0,47.3,2.98
Pakistan,Bangladesh,2003-09-09,ODI,Multan,won,137 runs,won,1st,323.0,3.0,50.0,6.46
Bangladesh,Pakistan,2003-09-09,ODI,Multan,lost,137 runs,lost,2nd,186.0,10.0,43.2,4.29
Pakistan,Bangladesh,2003-09-12,ODI,Faisalabad,won,74 runs,won,1st,243.0,8.0,50.0,4.86
Bangladesh,Pakistan,2003-09-12,ODI,Faisalabad,lost,74 runs,lost,2nd,169.0,10.0,42.1,4.0
Pakistan,Bangladesh,2003-09-15,ODI,Lahore,won,42 runs,won,1st,257.0,9.0,50.0,5.14
Bangladesh,Pakistan,2003-09-15,ODI,Lahore,lost,42 runs,lost,2nd,201.0,9.0,44.0,4.56
Bangladesh,Pakistan,2003-09-18,ODI,Rawalpindi,lost,5 wickets,won,1st,222.0,8.0,50.0,4.44
Pakistan,Bangladesh,2003-09-18,ODI,Rawalpindi,won,5 wickets,lost,2nd,226.0,5.0,49.5,4.53
Pakistan,Bangladesh,2003-09-21,ODI,Karachi,won,58 runs,won,1st,302.0,5.0,50.0,6.04
Bangladesh,Pakistan,2003-09-21,ODI,Karachi,lost,58 runs,lost,2nd,244.0,7.0,50.0,4.88
Pakistan,South Africa,2003-10-03,ODI,Lahore,won,8 runs,won,1st,277.0,6.0,50.0,5.54
South Africa,Pakistan,2003-10-03,ODI,Lahore,lost,8 runs,lost,2nd,269.0,6.0,50.0,5.38
Pakistan,South Africa,2003-10-05,ODI,Lahore,won,42 runs,lost,1st,267.0,7.0,50.0,5.34
South Africa,Pakistan,2003-10-05,ODI,Lahore,lost,42 runs,won,2nd,225.0,9.0,50.0,4.5
Pakistan,South Africa,2003-10-07,ODI,Faisalabad,lost,13 runs,won,1st,243.0,8.0,50.0,4.86
South Africa,Pakistan,2003-10-07,ODI,Faisalabad,won,13 runs,lost,2nd,221.0,6.0,45.0,4.91
Pakistan,South Africa,2003-10-10,ODI,Rawalpindi,lost,6 wickets,won,1st,157.0,10.0,47.4,3.29
South Africa,Pakistan,2003-10-10,ODI,Rawalpindi,won,6 wickets,lost,2nd,158.0,4.0,38.5,4.06
Pakistan,South Africa,2003-10-12,ODI,Rawalpindi,lost,7 wickets,won,1st,192.0,10.0,49.3,3.87
South Africa,Pakistan,2003-10-12,ODI,Rawalpindi,won,7 wickets,lost,2nd,193.0,3.0,45.5,4.21
Australia,India,2003-10-26,ODI,Gwalior,lost,37 runs,lost,2nd,246.0,9.0,50.0,4.92
New Zealand,Australia,2003-10-29,ODI,Faridabad,lost,8 wickets,won,1st,97.0,10.0,33.4,2.88
Australia,New Zealand,2003-10-29,ODI,Faridabad,won,8 wickets,lost,2nd,101.0,2.0,16.4,6.06
Australia,India,2003-11-01,ODI,Wankhede,won,77 runs,won,1st,286.0,8.0,50.0,5.72
India,Australia,2003-11-01,ODI,Wankhede,lost,77 runs,lost,2nd,209.0,10.0,46.2,4.51
New Zealand,Australia,2003-11-03,ODI,Pune,lost,2 wickets,lost,1st,258.0,9.0,50.0,5.16
Australia,New Zealand,2003-11-03,ODI,Pune,won,2 wickets,won,2nd,259.0,8.0,49.5,5.19
India,New Zealand,2003-11-06,ODI,Cuttack,lost,4 wickets,won,1st,246.0,9.0,50.0,4.92
New Zealand,India,2003-11-06,ODI,Cuttack,won,4 wickets,lost,2nd,249.0,6.0,47.3,5.24
Bangladesh,England,2003-11-07,ODI,Chattogram,lost,7 wickets,won,1st,143.0,10.0,44.4,3.2
England,Bangladesh,2003-11-07,ODI,Chattogram,won,7 wickets,lost,2nd,144.0,3.0,25.3,5.64
Australia,New Zealand,2003-11-09,ODI,Guwahati,won,44 runs,lost,1st,225.0,7.0,50.0,4.5
New Zealand,Australia,2003-11-09,ODI,Guwahati,lost,44 runs,won,2nd,181.0,10.0,45.3,3.97
Bangladesh,England,2003-11-10,ODI,Dhaka,lost,7 wickets,won,1st,134.0,9.0,50.0,2.68
England,Bangladesh,2003-11-10,ODI,Dhaka,won,7 wickets,lost,2nd,137.0,3.0,27.4,4.95
Bangladesh,England,2003-11-12,ODI,Dhaka,lost,7 wickets,won,1st,182.0,10.0,49.1,3.7
England,Bangladesh,2003-11-12,ODI,Dhaka,won,7 wickets,lost,2nd,185.0,3.0,39.3,4.68
Australia,India,2003-11-12,ODI,Bengaluru,won,61 runs,won,1st,347.0,2.0,50.0,6.94
India,Australia,2003-11-12,ODI,Bengaluru,lost,61 runs,lost,2nd,286.0,8.0,50.0,5.72
India,New Zealand,2003-11-15,ODI,Hyderabad (Deccan),won,145 runs,won,1st,353.0,5.0,50.0,7.06
New Zealand,India,2003-11-15,ODI,Hyderabad (Deccan),lost,145 runs,lost,2nd,208.0,10.0,47.0,4.42
England,Sri Lanka,2003-11-18,ODI,Dambulla,lost,10 wickets,won,1st,88.0,10.0,46.1,1.9
Sri Lanka,England,2003-11-18,ODI,Dambulla,won,10 wickets,lost,2nd,89.0,0.0,13.5,6.43
Australia,India,2003-11-18,ODI,Eden Gardens,won,37 runs,won,1st,235.0,5.0,50.0,4.7
India,Australia,2003-11-18,ODI,Eden Gardens,lost,37 runs,lost,2nd,198.0,10.0,41.5,4.73
West Indies,Zimbabwe,2003-11-22,ODI,Bulawayo,won,51 runs,won,1st,347.0,6.0,50.0,6.94
Zimbabwe,West Indies,2003-11-22,ODI,Bulawayo,lost,51 runs,lost,2nd,173.0,3.0,34.5,4.96
West Indies,Zimbabwe,2003-11-23,ODI,Bulawayo,lost,6 wickets,won,1st,125.0,10.0,42.3,2.94
Zimbabwe,West Indies,2003-11-23,ODI,Bulawayo,won,6 wickets,lost,2nd,128.0,4.0,29.4,4.31
Zimbabwe,West Indies,2003-11-26,ODI,Harare,won,21 runs,lost,1st,229.0,5.0,50.0,4.58
West Indies,Zimbabwe,2003-11-26,ODI,Harare,lost,21 runs,won,2nd,208.0,10.0,47.2,4.39
New Zealand,Pakistan,2003-11-29,ODI,Lahore,lost,3 wickets,won,1st,291.0,5.0,50.0,5.82
Pakistan,New Zealand,2003-11-29,ODI,Lahore,won,3 wickets,lost,2nd,292.0,7.0,48.0,6.08
West Indies,Zimbabwe,2003-11-29,ODI,Harare,won,72 runs,lost,1st,256.0,3.0,45.0,5.68
Zimbabwe,West Indies,2003-11-29,ODI,Harare,lost,72 runs,won,2nd,150.0,7.0,32.0,4.68
Zimbabwe,West Indies,2003-11-30,ODI,Harare,lost,8 wickets,won,1st,196.0,10.0,47.5,4.09
West Indies,Zimbabwe,2003-11-30,ODI,Harare,won,8 wickets,lost,2nd,197.0,2.0,25.4,7.67
Pakistan,New Zealand,2003-12-01,ODI,Lahore,won,124 runs,won,1st,281.0,6.0,50.0,5.62
Pakistan,New Zealand,2003-12-03,ODI,Faisalabad,won,51 runs,won,1st,314.0,7.0,50.0,6.28
New Zealand,Pakistan,2003-12-03,ODI,Faisalabad,lost,51 runs,lost,2nd,263.0,7.0,50.0,5.26
New Zealand,Pakistan,2003-12-05,ODI,Rawalpindi,lost,7 wickets,won,1st,183.0,10.0,47.5,3.82
Pakistan,New Zealand,2003-12-05,ODI,Rawalpindi,won,7 wickets,lost,2nd,184.0,3.0,41.2,4.45
Pakistan,New Zealand,2003-12-07,ODI,Rawalpindi,won,49 runs,won,1st,277.0,4.0,50.0,5.54
New Zealand,Pakistan,2003-12-07,ODI,Rawalpindi,lost,49 runs,lost,2nd,228.0,6.0,50.0,4.56
Pakistan,New Zealand,2004-01-03,ODI,Auckland,lost,4 wickets,lost,1st,229.0,7.0,50.0,4.58
New Zealand,Pakistan,2004-01-03,ODI,Auckland,won,4 wickets,won,2nd,230.0,6.0,49.1,4.67
New Zealand,Pakistan,2004-01-07,ODI,Queenstown,lost,6 wickets,lost,1st,235.0,8.0,50.0,4.7
Pakistan,New Zealand,2004-01-07,ODI,Queenstown,won,6 wickets,won,2nd,236.0,4.0,47.0,5.02
Australia,India,2004-01-09,ODI,Melbourne,won,18 runs,won,1st,288.0,10.0,48.3,5.93
India,Australia,2004-01-09,ODI,Melbourne,lost,18 runs,lost,2nd,270.0,10.0,49.0,5.51
Pakistan,New Zealand,2004-01-10,ODI,Christchurch,lost,7 wickets,lost,1st,255.0,9.0,50.0,5.1
New Zealand,Pakistan,2004-01-10,ODI,Christchurch,won,7 wickets,won,2nd,259.0,3.0,46.2,5.58
Australia,Zimbabwe,2004-01-11,ODI,Sydney,won,99 runs,won,1st,225.0,8.0,50.0,4.5
Zimbabwe,Australia,2004-01-11,ODI,Sydney,lost,99 runs,lost,2nd,126.0,10.0,37.3,3.36
Zimbabwe,India,2004-01-14,ODI,Hobart,lost,7 wickets,won,1st,208.0,6.0,50.0,4.16
India,Zimbabwe,2004-01-14,ODI,Hobart,won,7 wickets,lost,2nd,211.0,3.0,37.4,5.6
Pakistan,New Zealand,2004-01-14,ODI,Napier,lost,8 wickets,lost,1st,126.0,10.0,36.3,3.45
New Zealand,Pakistan,2004-01-14,ODI,Napier,won,8 wickets,won,2nd,127.0,2.0,22.5,5.56
Australia,Zimbabwe,2004-01-16,ODI,Hobart,won,148 runs,won,1st,344.0,7.0,50.0,6.88
Zimbabwe,Australia,2004-01-16,ODI,Hobart,lost,148 runs,lost,2nd,196.0,6.0,50.0,3.92
New Zealand,Pakistan,2004-01-17,ODI,Wellington,won,4 runs,won,1st,307.0,8.0,50.0,6.14
Pakistan,New Zealand,2004-01-17,ODI,Wellington,lost,4 runs,lost,2nd,303.0,10.0,49.3,6.12
India,Australia,2004-01-18,ODI,Brisbane,won,19 runs,won,1st,303.0,4.0,50.0,6.06
Australia,India,2004-01-18,ODI,Brisbane,lost,19 runs,lost,2nd,284.0,10.0,49.4,5.71
India,Zimbabwe,2004-01-20,ODI,Brisbane,won,24 runs,won,1st,255.0,6.0,50.0,5.1
Zimbabwe,India,2004-01-20,ODI,Brisbane,lost,24 runs,lost,2nd,231.0,10.0,47.1,4.89
India,Australia,2004-01-22,ODI,Sydney,lost,2 wickets,won,1st,296.0,4.0,50.0,5.92
Australia,India,2004-01-22,ODI,Sydney,won,2 wickets,lost,2nd,225.0,8.0,33.5,6.65
Zimbabwe,India,2004-01-24,ODI,Adelaide,lost,3 runs,lost,2nd,277.0,6.0,50.0,5.54
South Africa,West Indies,2004-01-25,ODI,Cape Town,won,209 runs,won,1st,263.0,4.0,50.0,5.26
West Indies,South Africa,2004-01-25,ODI,Cape Town,lost,209 runs,lost,2nd,54.0,10.0,23.2,2.31
Australia,Zimbabwe,2004-01-26,ODI,Adelaide,won,13 runs,won,1st,279.0,7.0,50.0,5.58
Zimbabwe,Australia,2004-01-26,ODI,Adelaide,lost,13 runs,lost,2nd,266.0,8.0,50.0,5.32
South Africa,West Indies,2004-01-28,ODI,Gqeberha,won,16 runs,won,1st,179.0,7.0,50.0,3.58
West Indies,South Africa,2004-01-28,ODI,Gqeberha,lost,16 runs,lost,2nd,163.0,10.0,42.4,3.82
India,Australia,2004-02-01,ODI,W.A.C.A,lost,5 wickets,won,1st,203.0,10.0,49.0,4.14
Australia,India,2004-02-01,ODI,W.A.C.A,won,5 wickets,lost,2nd,204.0,5.0,32.0,6.37
South Africa,West Indies,2004-02-01,ODI,Centurion,lost,7 wickets,won,1st,297.0,4.0,50.0,5.94
West Indies,South Africa,2004-02-01,ODI,Centurion,won,7 wickets,lost,2nd,300.0,3.0,45.0,6.66
Zimbabwe,India,2004-02-03,ODI,W.A.C.A,lost,4 wickets,won,1st,135.0,10.0,34.4,3.89
India,Zimbabwe,2004-02-03,ODI,W.A.C.A,won,4 wickets,lost,2nd,136.0,6.0,30.3,4.45
West Indies,South Africa,2004-02-04,ODI,Johannesburg,lost,4 wickets,won,1st,304.0,2.0,50.0,6.08
South Africa,West Indies,2004-02-04,ODI,Johannesburg,won,4 wickets,lost,2nd,310.0,6.0,49.4,6.24
India,Australia,2004-02-06,ODI,Melbourne,lost,7 wickets,won,1st,222.0,10.0,49.0,4.53
Australia,India,2004-02-06,ODI,Melbourne,won,7 wickets,lost,2nd,224.0,3.0,40.1,5.57
Australia,India,2004-02-08,ODI,Sydney,won,208 runs,won,1st,359.0,5.0,50.0,7.18
India,Australia,2004-02-08,ODI,Sydney,lost,208 runs,lost,2nd,151.0,10.0,33.2,4.53
New Zealand,South Africa,2004-02-13,ODI,Auckland,lost,5 wickets,lost,1st,225.0,8.0,50.0,4.5
South Africa,New Zealand,2004-02-13,ODI,Auckland,won,5 wickets,won,2nd,226.0,5.0,49.4,4.55
South Africa,New Zealand,2004-02-17,ODI,Christchurch,lost,5 wickets,won,1st,253.0,8.0,50.0,5.06
New Zealand,South Africa,2004-02-17,ODI,Christchurch,won,5 wickets,lost,2nd,255.0,5.0,45.1,5.64
New Zealand,South Africa,2004-02-20,ODI,Wellington,won,5 runs,lost,1st,254.0,5.0,38.0,6.68
South Africa,New Zealand,2004-02-20,ODI,Wellington,lost,5 runs,won,2nd,249.0,7.0,38.0,6.55
Australia,Sri Lanka,2004-02-20,ODI,Dambulla,won,84 runs,won,1st,262.0,6.0,50.0,5.24
Sri Lanka,Australia,2004-02-20,ODI,Dambulla,lost,84 runs,lost,2nd,178.0,10.0,43.3,4.09
Sri Lanka,Australia,2004-02-22,ODI,Dambulla,won,1 runs,won,1st,245.0,10.0,49.5,4.91
Australia,Sri Lanka,2004-02-22,ODI,Dambulla,lost,1 runs,lost,2nd,244.0,5.0,50.0,4.88
South Africa,New Zealand,2004-02-25,ODI,Dunedin,lost,6 wickets,lost,1st,259.0,7.0,50.0,5.18
New Zealand,South Africa,2004-02-25,ODI,Dunedin,won,6 wickets,won,2nd,264.0,4.0,49.0,5.38
Sri Lanka,Australia,2004-02-25,ODI,Colombo (RPS),lost,5 wickets,won,1st,226.0,8.0,50.0,4.52
Australia,Sri Lanka,2004-02-25,ODI,Colombo (RPS),won,5 wickets,lost,2nd,227.0,5.0,48.3,4.68
Australia,Sri Lanka,2004-02-27,ODI,Colombo (RPS),won,40 runs,won,1st,233.0,10.0,47.4,4.88
Sri Lanka,Australia,2004-02-27,ODI,Colombo (RPS),lost,40 runs,lost,2nd,193.0,10.0,43.4,4.41
New Zealand,South Africa,2004-02-29,ODI,Auckland,won,2 runs,lost,1st,193.0,8.0,33.0,5.84
South Africa,New Zealand,2004-02-29,ODI,Auckland,lost,2 runs,won,2nd,175.0,5.0,29.0,6.03
Australia,Sri Lanka,2004-02-29,ODI,Colombo (SSC),lost,3 wickets,won,1st,198.0,7.0,50.0,3.96
Sri Lanka,Australia,2004-02-29,ODI,Colombo (SSC),won,3 wickets,lost,2nd,202.0,7.0,47.5,4.22
South Africa,New Zealand,2004-03-02,ODI,Napier,lost,5 wickets,won,1st,186.0,9.0,50.0,3.72
New Zealand,South Africa,2004-03-02,ODI,Napier,won,5 wickets,lost,2nd,190.0,5.0,46.0,4.13
Bangladesh,Zimbabwe,2004-03-10,ODI,Harare,won,8 runs,lost,1st,238.0,7.0,50.0,4.76
Zimbabwe,Bangladesh,2004-03-10,ODI,Harare,lost,8 runs,won,2nd,230.0,9.0,50.0,4.6
Zimbabwe,Bangladesh,2004-03-12,ODI,Harare,won,14 runs,won,1st,242.0,8.0,50.0,4.84
Bangladesh,Zimbabwe,2004-03-12,ODI,Harare,lost,14 runs,lost,2nd,228.0,10.0,49.2,4.62
India,Pakistan,2004-03-13,ODI,Karachi,won,5 runs,lost,1st,349.0,7.0,50.0,6.98
Bangladesh,Zimbabwe,2004-03-14,ODI,Harare,lost,3 wickets,won,1st,183.0,10.0,48.5,3.74
Zimbabwe,Bangladesh,2004-03-14,ODI,Harare,won,3 wickets,lost,2nd,185.0,7.0,42.3,4.35
Pakistan,India,2004-03-16,ODI,Rawalpindi,won,12 runs,won,1st,329.0,6.0,50.0,6.58
India,Pakistan,2004-03-16,ODI,Rawalpindi,lost,12 runs,lost,2nd,317.0,10.0,48.4,6.51
India,Pakistan,2004-03-19,ODI,Peshawar,lost,4 wickets,lost,1st,244.0,9.0,50.0,4.88
Pakistan,India,2004-03-19,ODI,Peshawar,won,4 wickets,won,2nd,247.0,6.0,47.2,5.21
Pakistan,India,2004-03-21,ODI,Lahore,lost,5 wickets,won,1st,293.0,9.0,50.0,5.86
India,Pakistan,2004-03-21,ODI,Lahore,won,5 wickets,lost,2nd,294.0,5.0,45.0,6.53
India,Pakistan,2004-03-24,ODI,Lahore,won,40 runs,lost,1st,293.0,7.0,50.0,5.86
Pakistan,India,2004-03-24,ODI,Lahore,lost,40 runs,won,2nd,253.0,10.0,47.5,5.28
West Indies,England,2004-04-18,ODI,Georgetown,lost,2 wickets,lost,1st,156.0,5.0,30.0,5.2
England,West Indies,2004-04-18,ODI,Georgetown,won,2 wickets,won,2nd,157.0,8.0,29.3,5.32
Zimbabwe,Sri Lanka,2004-04-20,ODI,Bulawayo,lost,12 runs,lost,1st,211.0,6.0,50.0,4.22
Sri Lanka,Zimbabwe,2004-04-20,ODI,Bulawayo,won,12 runs,won,2nd,144.0,4.0,27.0,5.33
Zimbabwe,Sri Lanka,2004-04-22,ODI,Bulawayo,lost,9 wickets,lost,1st,136.0,10.0,36.4,3.7
Sri Lanka,Zimbabwe,2004-04-22,ODI,Bulawayo,won,9 wickets,won,2nd,139.0,1.0,20.5,6.67
Zimbabwe,Sri Lanka,2004-04-25,ODI,Harare,lost,9 wickets,lost,1st,35.0,10.0,18.0,1.94
Sri Lanka,Zimbabwe,2004-04-25,ODI,Harare,won,9 wickets,won,2nd,40.0,1.0,9.2,4.28
Sri Lanka,Zimbabwe,2004-04-27,ODI,Harare,won,72 runs,lost,1st,223.0,9.0,50.0,4.46
Zimbabwe,Sri Lanka,2004-04-27,ODI,Harare,lost,72 runs,won,2nd,151.0,10.0,43.4,3.45
Sri Lanka,Zimbabwe,2004-04-29,ODI,Harare,won,25 runs,won,1st,246.0,7.0,50.0,4.92
Zimbabwe,Sri Lanka,2004-04-29,ODI,Harare,lost,25 runs,lost,2nd,221.0,9.0,50.0,4.42
England,West Indies,2004-05-01,ODI,Gros Islet,lost,5 wickets,lost,1st,281.0,8.0,50.0,5.62
West Indies,England,2004-05-01,ODI,Gros Islet,won,5 wickets,won,2nd,284.0,5.0,48.0,5.91
England,West Indies,2004-05-02,ODI,Gros Islet,lost,4 wickets,lost,1st,280.0,8.0,50.0,5.6
West Indies,England,2004-05-02,ODI,Gros Islet,won,4 wickets,won,2nd,282.0,6.0,47.1,5.97
West Indies,England,2004-05-05,ODI,Bridgetown,lost,5 wickets,lost,1st,261.0,6.0,50.0,5.22
England,West Indies,2004-05-05,ODI,Bridgetown,won,5 wickets,won,2nd,262.0,5.0,47.2,5.53
Bangladesh,West Indies,2004-05-15,ODI,Kingstown,lost,1 wickets,lost,1st,144.0,8.0,50.0,2.88
West Indies,Bangladesh,2004-05-15,ODI,Kingstown,won,1 wickets,won,2nd,145.0,9.0,46.4,3.1
West Indies,Bangladesh,2004-05-16,ODI,Kingstown,won,23 runs,lost,1st,124.0,7.0,25.0,4.96
Bangladesh,West Indies,2004-05-16,ODI,Kingstown,lost,23 runs,won,2nd,101.0,8.0,25.0,4.04
Zimbabwe,Australia,2004-05-25,ODI,Harare,lost,7 wickets,won,1st,205.0,9.0,50.0,4.1
Australia,Zimbabwe,2004-05-25,ODI,Harare,won,7 wickets,lost,2nd,207.0,3.0,39.4,5.21
Australia,Zimbabwe,2004-05-27,ODI,Harare,won,139 runs,lost,1st,323.0,8.0,50.0,6.46
Zimbabwe,Australia,2004-05-27,ODI,Harare,lost,139 runs,won,2nd,184.0,10.0,44.3,4.13
Zimbabwe,Australia,2004-05-29,ODI,Harare,lost,8 wickets,lost,1st,196.0,10.0,48.5,4.01
Australia,Zimbabwe,2004-05-29,ODI,Harare,won,8 wickets,won,2nd,199.0,2.0,30.4,6.48
England,West Indies,2004-06-27,ODI,Nottingham,lost,7 wickets,lost,1st,147.0,10.0,38.2,3.83
West Indies,England,2004-06-27,ODI,Nottingham,won,7 wickets,won,2nd,148.0,3.0,32.2,4.57
England,New Zealand,2004-06-29,ODI,Chester-le-Street,lost,7 wickets,lost,1st,101.0,10.0,32.5,3.07
New Zealand,England,2004-06-29,ODI,Chester-le-Street,won,7 wickets,won,2nd,103.0,3.0,17.2,5.94
West Indies,England,2004-07-01,ODI,Leeds,lost,7 wickets,lost,1st,159.0,10.0,40.1,3.95
England,West Indies,2004-07-01,ODI,Leeds,won,7 wickets,won,2nd,160.0,3.0,22.0,7.27
West Indies,New Zealand,2004-07-03,ODI,Cardiff,lost,5 wickets,lost,1st,216.0,10.0,46.2,4.66
New Zealand,West Indies,2004-07-03,ODI,Cardiff,won,5 wickets,won,2nd,220.0,5.0,46.0,4.78
England,New Zealand,2004-07-04,ODI,Bristol,lost,6 wickets,lost,1st,237.0,7.0,50.0,4.74
New Zealand,England,2004-07-04,ODI,Bristol,won,6 wickets,won,2nd,241.0,4.0,47.2,5.09
Bangladesh,Hong Kong,2004-07-16,ODI,Colombo (SSC),won,116 runs,lost,1st,221.0,9.0,50.0,4.42
Hong Kong,Bangladesh,2004-07-16,ODI,Colombo (SSC),lost,116 runs,won,2nd,105.0,10.0,45.2,2.31
India,U.A.E.,2004-07-16,ODI,Dambulla,won,116 runs,won,1st,260.0,6.0,50.0,5.2
U.A.E.,India,2004-07-16,ODI,Dambulla,lost,116 runs,lost,2nd,144.0,10.0,35.0,4.11
Pakistan,Bangladesh,2004-07-17,ODI,Colombo (SSC),won,76 runs,won,1st,257.0,6.0,50.0,5.14
Bangladesh,Pakistan,2004-07-17,ODI,Colombo (SSC),lost,76 runs,lost,2nd,181.0,10.0,45.2,3.99
Sri Lanka,U.A.E.,2004-07-17,ODI,Dambulla,won,116 runs,won,1st,239.0,10.0,50.0,4.78
U.A.E.,Sri Lanka,2004-07-17,ODI,Dambulla,lost,116 runs,lost,2nd,123.0,10.0,47.5,2.57
Pakistan,Hong Kong,2004-07-18,ODI,Colombo (SSC),won,173 runs,won,1st,343.0,5.0,50.0,6.86
Hong Kong,Pakistan,2004-07-18,ODI,Colombo (SSC),lost,173 runs,lost,2nd,165.0,10.0,44.1,3.73
Sri Lanka,India,2004-07-18,ODI,Dambulla,won,12 runs,won,1st,282.0,4.0,50.0,5.64
India,Sri Lanka,2004-07-18,ODI,Dambulla,lost,12 runs,lost,2nd,270.0,8.0,50.0,5.4
Bangladesh,India,2004-07-21,ODI,Colombo (SSC),lost,8 wickets,lost,1st,177.0,10.0,49.1,3.6
India,Bangladesh,2004-07-21,ODI,Colombo (SSC),won,8 wickets,won,2nd,178.0,2.0,38.3,4.62
Pakistan,Sri Lanka,2004-07-21,ODI,Colombo (RPS),lost,7 wickets,won,1st,122.0,10.0,39.5,3.06
Pakistan,India,2004-03-13,ODI,Karachi,lost,5 runs,won,2nd,344.0,8.0,50.0,6.88
Sri Lanka,Pakistan,2004-07-21,ODI,Colombo (RPS),won,7 wickets,lost,2nd,123.0,3.0,32.0,3.84
Bangladesh,Sri Lanka,2004-07-23,ODI,Colombo (RPS),lost,10 wickets,won,1st,190.0,9.0,50.0,3.8
Sri Lanka,Bangladesh,2004-07-23,ODI,Colombo (RPS),won,10 wickets,lost,2nd,191.0,0.0,33.3,5.7
Pakistan,India,2004-07-25,ODI,Colombo (RPS),won,59 runs,won,1st,300.0,9.0,50.0,6.0
India,Pakistan,2004-07-25,ODI,Colombo (RPS),lost,59 runs,lost,2nd,241.0,8.0,50.0,4.82
India,Sri Lanka,2004-07-27,ODI,Colombo (RPS),won,4 runs,won,1st,271.0,6.0,50.0,5.42
Sri Lanka,India,2004-07-27,ODI,Colombo (RPS),lost,4 runs,lost,2nd,267.0,9.0,50.0,5.34
Bangladesh,Pakistan,2004-07-29,ODI,Colombo (RPS),lost,6 wickets,won,1st,166.0,10.0,45.2,3.66
Pakistan,Bangladesh,2004-07-29,ODI,Colombo (RPS),won,6 wickets,lost,2nd,167.0,4.0,41.0,4.07
Sri Lanka,India,2004-08-01,ODI,Colombo (RPS),won,25 runs,won,1st,228.0,9.0,50.0,4.56
India,Sri Lanka,2004-08-01,ODI,Colombo (RPS),lost,25 runs,lost,2nd,203.0,9.0,50.0,4.06
South Africa,Sri Lanka,2004-08-20,ODI,Colombo (RPS),lost,3 wickets,won,1st,263.0,9.0,50.0,5.26
Sri Lanka,South Africa,2004-08-20,ODI,Colombo (RPS),won,3 wickets,lost,2nd,265.0,7.0,49.0,5.4
Pakistan,India,2004-08-21,ODI,Amstelveen,won,66 runs,lost,1st,192.0,6.0,33.0,5.81
India,Pakistan,2004-08-21,ODI,Amstelveen,lost,66 runs,won,2nd,127.0,10.0,27.0,4.7
Sri Lanka,South Africa,2004-08-22,ODI,Colombo (RPS),won,37 runs,won,1st,213.0,9.0,50.0,4.26
South Africa,Sri Lanka,2004-08-22,ODI,Colombo (RPS),lost,37 runs,lost,2nd,176.0,10.0,48.5,3.6
South Africa,Sri Lanka,2004-08-25,ODI,Dambulla,lost,4 wickets,won,1st,191.0,10.0,50.0,3.82
Sri Lanka,South Africa,2004-08-25,ODI,Dambulla,won,4 wickets,lost,2nd,192.0,6.0,47.4,4.02
South Africa,Sri Lanka,2004-08-28,ODI,Dambulla,lost,7 wickets,lost,1st,235.0,7.0,50.0,4.7
Sri Lanka,South Africa,2004-08-28,ODI,Dambulla,won,7 wickets,won,2nd,236.0,3.0,46.1,5.11
Australia,Pakistan,2004-08-28,ODI,Amstelveen,won,17 runs,won,1st,192.0,7.0,50.0,3.84
Pakistan,Australia,2004-08-28,ODI,Amstelveen,lost,17 runs,lost,2nd,175.0,10.0,47.1,3.71
Sri Lanka,South Africa,2004-08-31,ODI,Colombo (SSC),won,49 runs,lost,1st,308.0,8.0,50.0,6.16
South Africa,Sri Lanka,2004-08-31,ODI,Colombo (SSC),lost,49 runs,won,2nd,259.0,10.0,48.1,5.37
India,England,2004-09-01,ODI,Nottingham,lost,7 wickets,lost,1st,170.0,10.0,43.5,3.87
England,India,2004-09-01,ODI,Nottingham,won,7 wickets,won,2nd,171.0,3.0,32.2,5.28
England,India,2004-09-03,ODI,The Oval,won,70 runs,lost,1st,307.0,5.0,50.0,6.14
